lane,band_number,position_y,intensity,area,normalized_area
1,1,17,234.34389783161595,3699.2958037129624,0.16997034754224366
1,2,43,224.04748247183818,3523.6707815215386,0.16190096146367453
1,3,70,233.13083948189808,3714.6761853424473,0.17067702496130055
1,4,95,226.58553079572138,3577.596830923004,0.16437868421002738
1,5,133,230.90040815733448,3661.6806368422276,0.16824205563883296
1,6,170,227.735699430433,3587.4395879713857,0.16483092618392095
2,1,20,251.2104481789422,3913.3984215867617,0.16893348501241678
2,2,77,248.4106881280569,3946.496044983395,0.17036224238993794
2,3,112,250.6280080276906,3933.917010218916,0.16981923093239404
2,4,136,247.6339508711638,3871.381603618701,0.16711970406710766
2,5,154,237.42178851142847,3663.855105065163,0.15816120537714845
2,6,172,246.56146743228578,3836.2728951826994,0.16560413222099502
3,1,20,250.0025268977828,3895.0970950414066,0.16758903964321992
3,2,43,244.89530370097495,3846.2190453411663,0.1654860303448574
3,3,79,247.28125435745682,3931.2526828375912,0.1691446568945106
3,4,112,250.5076600816899,3944.5069438741248,0.16971492993882598
3,5,135,243.24349940829296,3833.0861372802237,0.16492097858980412
3,6,155,244.06516000729644,3791.7941527380162,0.16314436458878198
4,1,19,249.8797256433913,3867.8917619074136,0.1995435444122748
4,2,42,248.30168386263978,3866.68567090128,0.19948132248646552
4,3,111,251.02807237253646,3954.481725958447,0.20401069845920033
4,4,134,246.23806641391147,3811.6832104517052,0.19664375965247047
4,5,168,247.21520210882895,3882.9554261656235,0.20032067498958891
5,1,20,250.500269647166,3897.0366265343628,0.14504723327960647
5,2,43,243.11644094471725,3793.2646686893377,0.14118485352291057
5,3,78,248.4356854744615,3936.405978131392,0.14651255579833258
5,4,113,248.7774319484568,3892.7558231150556,0.14488790229257992
5,5,134,242.2082199885456,3788.7115657332283,0.141015387579962
5,6,155,240.7976566829763,3735.470121539639,0.1390337474476858
5,7,170,241.06761074623466,3823.7179257688194,0.1423183200789228
6,1,21,251.30011615609033,3941.249094904948,0.17024776837754815
6,2,77,247.02092678558296,3919.8814555117233,0.16932476330108764
6,3,96,244.9137383238596,3852.694168061248,0.16642251442608724
6,4,113,248.9951755910504,3880.73848614664,0.1676339279791865
6,5,135,243.77944516893663,3809.058139101341,0.16453759510929347
6,6,155,241.4763183858638,3746.4565249289126,0.16183343080679707
7,1,21,251.1568798038884,3943.4686759359197,0.1458290044210798
7,2,49,247.72426024130488,3864.5618812366147,0.1429110405018337
7,3,78,247.20569573619966,3911.5637870020482,0.14464916540833872
7,4,99,243.68613477759507,3804.017433689978,0.14067211400475563
7,5,114,246.55913286077276,3807.7706067329873,0.14081090589921696
7,6,133,245.91840699592436,3820.1965979115084,0.14127041758078973
7,7,168,248.51479241773046,3890.1517869693753,0.14385735218398546
8,1,20,249.3107866801039,3893.3373711865142,0.1267809097655759
8,2,50,243.84855334846225,3856.1154814633137,0.12556883267273894
8,3,79,248.64223631237013,3951.2261115904644,0.12866597300923707
8,4,99,244.19434142227314,3835.0875614779743,0.12488408882137149
8,5,114,246.40252858538042,3831.78570615004,0.12477656867028264
8,6,139,242.493244118159,3830.251203971214,0.12472659982255098
8,7,155,244.71303786468278,3786.7446330076564,0.12330987115979461
8,8,177,242.58397804340757,3724.6287179852034,0.1212871560784484
9,1,20,249.94466772819982,3908.821918271295,0.19837331834922275
9,2,53,249.58323050903135,3962.045152041249,0.2010744057144132
9,3,83,251.6912165548012,4024.4795098069385,0.20424295905041678
9,4,130,247.46927678865075,3880.280197592436,0.1969248215998579
9,5,168,250.74067702941312,3928.746526111532,0.1993844952860894
10,1,84,244.27918623682868,3906.860791726499,0.5048445721570454
10,2,165,239.9143727700618,3831.879024834639,0.49515542784295474
