lane,band_number,position_y,intensity,area,normalized_area
1,1,16,237.1541669630586,3693.029043392034,0.20182258627304847
1,2,44,228.82431760755648,3558.286104252412,0.19445893758800786
1,3,71,235.21452423666028,3748.2642906213064,0.20484117083283948
1,4,134,233.53348795187844,3687.8366393690385,0.20153882343322715
1,5,170,231.80210679265733,3610.9771378583755,0.19733848187287711
2,1,19,251.86868973247954,3907.134980521807,0.2010101002922486
2,2,44,249.11398072619718,3863.6044779636422,0.19877058956927376
2,3,113,251.7550704942849,3936.2128050370484,0.20250606509797653
2,4,136,249.60481218079923,3885.9239625787586,0.19991885853446745
2,5,173,244.1426606702344,3844.6295253073695,0.19779438650603365
3,1,18,250.9813749898638,3847.233781338705,0.19927957601082166
3,2,43,248.6880518843468,3857.3051283930454,0.1998012531131028
3,3,113,251.3494348023347,3945.982254019813,0.2043945637880292
3,4,134,245.39744462565017,3801.038019918881,0.1968867212293178
3,5,168,245.68814626865344,3854.1512074926995,0.1996378858587287
4,1,18,251.59954714581136,3841.386215602264,0.16804010517994633
4,2,43,247.08333527510405,3828.4037189119554,0.16747219037344313
4,3,113,251.4322483389267,3929.8794614806875,0.17191121147088034
4,4,134,243.17286114745312,3799.158803126446,0.16619288169455645
4,5,154,247.23989257585237,3749.95840752637,0.16404062748539838
4,6,178,246.24243770973317,3711.1503797562223,0.16234298379577541
5,1,19,251.78992418731872,3891.384641362073,0.16744881472195308
5,2,43,248.78829065446996,3816.0052503799334,0.16420519044995
5,3,77,248.29637220097828,3930.4023303507406,0.16912777128278672
5,4,114,250.22834639307592,3869.816965603178,0.16652074359175753
5,5,134,250.56276242460677,3834.890209198401,0.16501782252353459
5,6,168,251.27988358921368,3896.7492524536838,0.16767965743001803
6,1,19,251.8544388949319,3896.3862290341085,0.16955673892477982
6,2,48,247.27357512559536,3872.893769157237,0.16853443141933752
6,3,78,248.08517588965887,3930.084899845422,0.17102318408524392
6,4,114,250.96022047342424,3865.337361124366,0.16820560367261894
6,5,154,245.34150578261307,3722.4239714591445,0.16198652607713934
6,6,178,244.8130705679372,3692.710806483012,0.16069351582088046
7,1,19,251.2283287223516,3894.2959327575045,0.16977791051935665
7,2,50,248.54392828307,3877.5867114518514,0.16904944593200552
7,3,79,248.07487982543893,3935.5486997835696,0.1715763892969743
7,4,114,248.36799989438106,3793.438733446747,0.16538088346864405
7,5,154,247.02055804208743,3744.7417340479483,0.16325786175965026
7,6,178,245.5362623373672,3691.977188428304,0.16095750902336933
8,1,18,250.683092035429,3846.618240836041,0.3263645795329143
8,2,82,251.70768593507756,4021.7805587495413,0.3412261469296896
8,3,169,249.5264289552024,3917.862584358825,0.3324092735373961
9,1,84,244.16275804914488,3903.961755209879,0.5150873354498529
9,2,178,239.9584936256928,3675.2611969528725,0.4849126645501472
