lane,band_number,position_y,intensity
1,1,138,251.6051511973065
1,2,229,251.74278734899946
1,3,386,248.5993336223562
2,1,90,239.68910611269757
2,2,139,248.03982542384392
2,3,170,244.5757270410253
2,4,216,243.27641365416628
2,5,239,241.90892787739932
2,6,267,237.63253674955354
2,7,339,249.06326177415048
2,8,363,245.18624067156736
2,9,389,243.22081750056344
3,1,92,238.56744200507808
3,2,141,247.19929378520783
3,3,187,245.78739635174207
3,4,240,241.77318660369028
3,5,269,232.76662276143713
3,6,340,248.69292142538558
3,7,365,246.0366911282301
4,1,89,242.61045551145207
4,2,138,248.43550426633863
4,3,184,247.58061207322118
4,4,215,245.40570774248096
4,5,236,243.97949895466917
4,6,265,236.18342093642133
4,7,335,249.89872100136978
5,1,85,241.07693805552873
5,2,135,249.63859354459186
5,3,183,244.96368162986414
5,4,214,247.43103914823806
5,5,262,240.49667534789836
5,6,335,250.51473025954303
5,7,383,246.77526451118266
6,1,307,251.8045461606454
