lane,band_number,position_y,intensity
2,1,110,239.0456828533734
2,2,139,249.47460050772838
2,3,190,239.5814215373206
2,4,237,246.92194361726146
2,5,267,242.07015891621316
2,6,341,250.21133495261128
2,7,386,239.5064216122857
3,1,91,242.0958725448394
3,2,139,247.9873973828369
3,3,186,246.41465025626144
3,4,216,244.07281777573928
3,5,239,241.56799821871653
3,6,267,238.71019583800046
3,7,307,245.9314473539485
3,8,339,249.24240841643132
3,9,364,246.28214790473316
3,10,390,247.09579920366852
3,11,413,245.31438676227276
4,1,92,236.58794662938055
4,2,141,246.46207424105478
4,3,173,245.7307403624701
4,4,207,242.67032494462546
4,5,241,240.6174080356953
4,6,270,230.50900601350952
4,7,341,248.67876156551023
4,8,366,245.62454595892603
5,1,91,244.40869674400557
5,2,139,249.08668566254522
5,3,186,248.1082584459984
5,4,217,246.0755388411347
5,5,238,244.7098044052254
5,6,266,240.07487309075253
5,7,289,245.01691171676345
5,8,321,249.78987761713842
5,9,362,248.40175167321428
5,10,388,249.10507623560642
6,1,88,240.89206864972948
6,2,121,247.12694798219053
6,3,155,247.93947117692682
6,4,264,232.71779739796534
6,5,335,249.73525420747865
7,1,86,245.9433161534687
7,2,135,249.9548765630317
7,3,181,249.2418213166493
7,4,213,248.04702224724244
7,5,233,246.76353043953557
7,6,262,240.939056016309
7,7,334,250.47477037505462
7,8,359,249.75892972963987
8,1,104,241.41310721583702
8,2,149,250.49589876637378
8,3,184,240.8962770598979
8,4,229,249.49637175144557
8,5,261,243.53360685839257
8,6,337,250.99897213214086
8,7,381,241.34255468628794
