lane,band_number,position_y,intensity,area,molecular_weight_kDa,normalized_area
2,1,160,251.54856283792458,4019.2891286409113,250.0,0.16844434006333578
2,2,190,245.83566971106967,3900.2374956320964,250.0,0.16345500659818812
2,3,228,251.43558304600538,4020.639580129347,250.0,0.1685009361186273
2,4,337,251.73955582499983,4026.286528050151,250.0,0.16873759399156152
2,5,386,244.4674040758768,3871.069653842519,250.0,0.16223261186517263
2,6,597,251.60912182183066,4023.7075436013542,250.0,0.16862951136311471
3,1,111,233.56484668423687,3588.753664812749,250.0,0.09424455655024712
3,2,138,247.51399584879172,3879.5812071830105,250.0,0.10188200267312376
3,3,155,247.46904382162725,3917.729246396645,250.0,0.10288381148329688
3,4,190,235.2185279040374,3636.9340218550014,250.0,0.09550982488794356
3,5,221,244.13448122009285,3871.2310479911785,250.0,0.10166271845256715
3,6,237,243.855501487584,3838.3025763614987,250.0,0.10079798113803808
3,7,266,237.09033164338112,3672.0075945087974,250.0,0.09643089487772855
3,8,322,248.9361037088966,3960.0707507260463,250.0,0.10399574522740439
3,9,387,239.43465092721868,3708.3646433411723,250.0,0.09738567034149993
3,10,498,250.76645308455215,4006.1864862253633,250.0,0.10520679436815068
4,1,91,234.86360165566091,3557.6209441380197,250.0,0.06328743034897594
4,2,122,240.6450374163182,3733.300568554767,250.0,0.06641264019246111
4,3,139,244.80496999805854,3817.5702604953485,250.0,0.06791173533018423
4,4,156,241.9436653547716,3764.3205730066547,250.0,0.06696446299820677
4,5,185,242.48640812141252,3784.847657454603,250.0,0.06732962456197811
4,6,217,239.63778291177917,3786.847610010404,250.0,0.06736520223033118
4,7,238,234.47338091412533,3597.355254651703,250.0,0.06399427417764263
4,8,267,230.7907317122759,3535.7629274542064,250.0,0.06289859249070918
4,9,290,236.7400085782673,3583.5155633336503,250.0,0.06374807636340225
4,10,323,245.03022226387455,3874.423597925116,250.0,0.06892311391412863
4,11,339,247.81438365069158,3913.880183717837,250.0,0.06962501722658797
4,12,364,242.16635621402656,3766.917091303477,250.0,0.06701065312735213
4,13,390,244.54172998253478,3855.0501131541896,250.0,0.06857847403053528
4,14,413,241.2634829035323,3796.478600529822,250.0,0.06753653038790054
4,15,428,244.6075413864219,3845.814122097873,250.0,0.06841417261960404
5,1,92,236.6280125456418,3590.4058176034105,250.0,0.06794739241979345
5,2,123,242.8355906647846,3775.21981730355,250.0,0.07144494395024388
5,3,140,245.95530990183755,3847.6805582826096,250.0,0.07281624253108776
5,4,158,243.76973162252142,3812.5936162729827,250.0,0.07215223229418088
5,5,187,244.35986565257642,3822.156497015016,250.0,0.07233320704841531
5,6,219,241.54588506704047,3821.8551069655355,250.0,0.0723275033288349
5,7,240,238.61137542522522,3670.004855166304,250.0,0.06945378120041713
5,8,269,231.11286786149518,3502.9250311416845,250.0,0.0662918438191969
5,9,291,238.51085704078065,3619.105843161513,250.0,0.06849053210876492
5,10,308,244.847736936337,3846.459996527926,250.0,0.07279314375264008
5,11,341,248.32101334881418,3936.2799088445236,250.0,0.07449295963399943
5,12,365,244.05447039068218,3816.405989452909,250.0,0.07222438035478092
5,13,391,245.83955437324403,3886.8495159949443,250.0,0.07355750373540779
5,14,429,246.7166863910905,3893.0229305805883,250.0,0.07367433382223647
6,1,92,238.00181619290913,3621.1925793222867,250.0,0.07332075101317656
6,2,123,244.14501426606364,3819.9859677130225,250.0,0.07734585606185385
6,3,141,247.03585513189546,3883.8882888728995,250.0,0.07863972985516761
6,4,158,244.92481542728322,3841.472243623085,250.0,0.07778090331540172
6,5,173,243.84005679456828,3827.8676614972924,250.0,0.0775054420807854
6,6,188,245.50622732017473,3849.6390785665126,250.0,0.07794626278147154
6,7,220,243.50333961521136,3861.680494448352,250.0,0.07819007352513647
6,8,240,241.07911174068187,3735.651501930205,250.0,0.07563827872868466
6,9,269,233.08265884000983,3543.659850218168,250.0,0.07175089307232133
6,10,291,239.6654903261129,3667.6770374985135,250.0,0.07426195347873542
6,11,340,248.78477578510217,3956.4564175309742,250.0,0.08010906615150638
6,12,365,245.27552542847204,3857.017540516117,250.0,0.0780956595229087
6,13,391,247.15632948765762,3922.184060624868,250.0,0.07941513041285046
7,1,91,238.6713105648606,3646.881598152092,250.0,0.08008568700895376
7,2,122,244.12809558074116,3821.227692359462,250.0,0.08391433522692716
7,3,139,246.97065387106193,3878.2106893546365,250.0,0.0851656844521118
7,4,156,244.60626822447318,3837.437278903262,250.0,0.0842702984902119
7,5,186,245.31439625085457,3850.6655508574354,250.0,0.08456079194849365
7,6,218,242.93140036787202,3846.368629906875,250.0,0.08446643136751862
7,7,238,239.91508020764132,3715.7853645161467,250.0,0.08159881687573252
7,8,266,231.952199398318,3526.8669389724837,250.0,0.07745015959385627
7,9,289,240.4605737994167,3683.679519093208,250.0,0.0808937710390368
7,10,338,248.5060129737425,3948.2192310127907,250.0,0.08670307523497384
7,11,362,245.7773948639188,3859.7596975311453,250.0,0.08476049982617559
7,12,388,247.35222436739886,3922.14340660133,250.0,0.08613044893600794
8,1,89,240.0281280944016,3686.7222974631472,250.0,0.08036655497145802
8,2,121,245.55058263332506,3852.8894779484444,250.0,0.08398881961941183
8,3,138,247.46171233721574,3895.588624558388,250.0,0.084919614790945
8,4,155,245.79472368741295,3859.8480065831013,250.0,0.084140508010594
8,5,184,246.6029162888843,3885.3022901433974,250.0,0.08469538383631466
8,6,217,244.88055119509025,3880.786610548249,250.0,0.08459694690965308
8,7,236,241.74986796762283,3757.825459896091,250.0,0.08191652693876451
8,8,264,233.18069365807204,3536.55766771577,250.0,0.07709312860580378
8,9,288,242.37710012437972,3733.1871948678636,250.0,0.08137943943365059
8,10,336,249.4200926412601,3964.2907889059734,250.0,0.08641724759922503
8,11,360,246.0761085553407,3876.036336383084,250.0,0.0844933960753288
8,12,387,248.3571736661147,3944.802922518862,250.0,0.08599243320885072
9,1,88,241.55375636455403,3724.1488456532975,250.0,0.08071691102850331
9,2,119,246.29401527926981,3877.942237076312,250.0,0.08405021697484114
9,3,136,248.32587351905318,3917.0712068889443,250.0,0.08489829520852656
9,4,154,247.0843707240557,3891.885072088584,250.0,0.08435241289122729
9,5,183,247.5972794978747,3902.1172678469075,250.0,0.08457418470241974
9,6,216,246.38380442199346,3907.1817667778596,250.0,0.08468395225644508
9,7,234,243.34288751380987,3807.5837907730715,250.0,0.08252527350836533
9,8,263,233.38040095476964,3523.979478239313,250.0,0.0763784558029437
9,9,287,243.37849466101764,3756.2963503163173,250.0,0.0814136735321562
9,10,335,249.79525990203302,3971.578501387646,250.0,0.08607968204960066
9,11,359,247.36370620431043,3901.919298454373,250.0,0.08456989392927779
9,12,386,248.84432871134453,3956.6926890192126,250.0,0.08575704811569326
10,1,86,241.25864464411958,3722.6991821513866,250.0,0.08058926526940881
10,2,117,246.31502816155688,3881.5058469493865,250.0,0.08402712361082869
10,3,135,248.36063954845855,3920.3793945151874,250.0,0.08486866102318895
10,4,152,246.92915858633467,3896.3804784869994,250.0,0.08434913072666464
10,5,181,247.47626133784473,3904.341605940447,250.0,0.08452147379839753
10,6,214,246.19115172504735,3905.6476348243123,250.0,0.08454974680758288
10,7,232,243.83557544050313,3822.5558908706234,250.0,0.08275097063268073
10,8,262,233.63876971440726,3538.507820947057,250.0,0.07660187715607467
10,9,286,243.39886386247116,3765.8977846119424,250.0,0.08152443178773855
10,10,334,249.5505655172106,3970.2158530718834,250.0,0.08594752433773493
10,11,359,247.63192705738592,3902.718769650791,250.0,0.08448634251922703
10,12,386,249.15901677640812,3962.636794928013,250.0,0.08578345233047281
11,1,105,239.00585251512499,3670.5045381323744,250.0,0.10601777749837939
11,2,151,249.49650492847042,3972.252531534323,250.0,0.11473337811751054
11,3,185,239.45352434222445,3684.8587961021462,250.0,0.10643238167929886
11,4,230,247.86334641030425,3942.231674633625,250.0,0.11386626448390955
11,5,261,238.8346362746751,3675.649648838654,250.0,0.10616638736832941
11,6,335,250.69792431389274,3999.7720845728327,250.0,0.11552824482332207
11,7,382,242.86687129236122,3767.9734760834276,250.0,0.10883304174048708
11,8,409,246.62597260700278,3893.8836911631925,250.0,0.1124697954969316
11,9,513,251.34115796792872,4014.468396545622,250.0,0.11595272879183141
12,1,144,251.63557826257738,4024.1377338873504,250.0,0.33755004079746365
12,2,309,251.7146452279626,4025.036232742398,250.0,0.33762540807990626
12,3,378,244.61170368542642,3872.429492164999,250.0,0.32482455112263015
