lane,band_number,position_y,intensity,area,molecular_weight_kDa,relative_concentration_%
2,1,110,240.9262262865089,3717.1762978432525,,7.95
2,2,160,250.91866914782076,4003.336315951365,,8.56
2,3,191,240.57740117841922,3720.2713543796945,,7.95
2,4,230,250.36436151304534,4000.8034741353977,,8.55
2,5,267,245.01147568492692,3854.8391742129525,,8.24
2,6,342,250.92414630063354,4012.720531162406,,8.58
2,7,387,238.5269339542411,3708.520223070074,,7.93
2,8,415,245.6898614400629,3895.9399683126194,,8.33
2,9,435,246.28621005376843,3894.621966209188,,8.33
2,10,508,250.94615933687925,4014.283969101679,,8.58
2,11,601,250.7899362343453,4008.0126114422565,,8.57
2,12,631,249.19448367964503,3949.03732358473,,8.44
3,1,90,234.0517536803286,3566.8918497489244,,6.34
3,2,121,240.63142648398536,3742.30937836029,,6.65
3,3,138,244.48817767913823,3820.1114267067896,,6.78
3,4,155,242.17563979369135,3778.065144027294,,6.71
3,5,170,241.59640568695042,3780.514619936109,,6.71
3,6,185,242.41482598643537,3791.974972996764,,6.73
3,7,216,239.38988658987967,3783.487816670466,,6.72
3,8,238,234.6937158585889,3598.38242058718,,6.39
3,9,266,229.89952642882764,3542.423744856547,,6.29
3,10,290,236.65300072479758,3612.175742729538,,6.42
3,11,323,245.20732670088682,3881.516994918942,,6.89
3,12,339,247.50840065189803,3913.092867320109,,6.95
3,13,363,242.5213459933182,3771.774682084231,,6.7
3,14,390,244.95228180015818,3869.3255889885722,,6.87
3,15,427,245.02964920345954,3850.595517972046,,6.84
4,1,92,238.91995900551078,3604.9600780451356,,6.34
4,2,123,243.37644158480947,3774.529458768683,,6.64
4,3,140,246.74367395147073,3850.781042386142,,6.78
4,4,158,244.08518857742243,3807.9065544425944,,6.7
4,5,187,245.32329905240897,3826.681824131574,,6.73
4,6,219,243.08396578632286,3842.7259187313266,,6.76
4,7,240,239.91611973807807,3677.606969557527,,6.47
4,8,269,234.1152561763703,3526.39331525511,,6.21
4,9,291,239.1838545055166,3608.4402178969763,,6.35
4,10,308,245.5136782967135,3846.591718386604,,6.77
4,11,324,247.4760789737269,3908.0107128245386,,6.88
4,12,341,248.74804574912812,3939.5949347520836,,6.93
4,13,365,244.64790598825954,3815.9146108688287,,6.72
4,14,391,246.918692872842,3896.4321940476593,,6.86
4,15,429,247.0343009390272,3891.5612163150513,,6.85
5,1,92,236.10335674089728,3619.248983487795,,7.95
5,2,123,243.77664778785493,3826.3623389198674,,8.4
5,3,140,246.5101034327381,3882.7932743578785,,8.53
5,4,158,244.48183236471598,3845.437964045372,,8.44
5,5,187,244.5063092650018,3844.8055680180787,,8.44
5,6,219,241.96539871755942,3838.2952594213602,,8.43
5,7,239,239.9178391191707,3735.2951317725565,,8.2
5,8,268,230.56895000976456,3532.0571413995904,,7.75
5,9,291,239.31963613179823,3698.7174556243967,,8.12
5,10,339,248.4350914554828,3951.91047170993,,8.68
5,11,364,245.29871207662848,3859.6482265622312,,8.47
5,12,389,246.36318975768086,3911.140083632891,,8.59
6,1,90,239.79404619276892,3679.546520677167,,8.04
6,2,121,245.13826966372648,3840.570323372245,,8.4
6,3,138,247.14861910950134,3882.6660133077708,,8.49
6,4,156,245.4994746630784,3849.6369227094237,,8.42
6,5,185,246.22419976622308,3873.115370934692,,8.47
6,6,217,243.888289588793,3863.67393914848,,8.45
6,7,236,240.97705511967996,3745.770956131245,,8.19
6,8,265,233.12979736534297,3528.807692325723,,7.71
6,9,288,242.17579440623618,3714.6754901145714,,8.12
6,10,336,249.22243673092265,3960.4948436946866,,8.66
6,11,361,246.07979471167653,3869.8020043772913,,8.46
6,12,387,247.96922637492122,3935.4651977622807,,8.6
7,1,88,242.7216759723638,3722.998560206557,,7.45
7,2,119,246.32332389595376,3870.1341862448553,,7.74
7,3,136,248.82031525674506,3917.7295252172507,,7.84
7,4,154,247.26727660920318,3886.6121203055395,,7.78
7,5,183,248.07517533012702,3902.560476306472,,7.81
7,6,201,244.09543555459032,3838.580629846664,,7.68
7,7,216,247.46206731495474,3918.8516530351744,,7.84
7,8,234,243.96368974760466,3806.5988923148534,,7.62
7,9,263,235.9713722101822,3534.378029003468,,7.07
7,10,287,243.6899943283385,3746.112436212851,,7.5
7,11,335,249.84355086342754,3969.482810517605,,7.94
7,12,359,247.73514236877088,3899.829706287208,,7.8
7,13,386,249.44239436890126,3962.6367642136215,,7.93
8,1,86,240.9394079149337,3748.4027278215144,,10.81
8,2,134,248.41026614053408,3931.303315813149,,11.34
8,3,152,247.13930694527588,3910.299957560418,,11.28
8,4,213,245.620067008828,3901.765546234162,,11.25
8,5,261,232.75111800198704,3560.2666267292434,,10.27
8,6,285,243.49204327796764,3774.905340160274,,10.89
8,7,334,249.7732168535471,3975.225244078122,,11.46
8,8,359,247.75539627786972,3914.262982595492,,11.29
8,9,386,248.59363746954017,3958.510156780859,,11.42
9,1,104,243.02458043575035,3766.4203892372034,,8.75
9,2,149,251.0988313903749,4014.038895302622,,9.33
9,3,185,241.15101577855512,3736.9695754113245,,8.69
9,4,223,250.81018661975259,4010.0022203961216,,9.32
9,5,261,245.2630127523828,3863.1342804241663,,8.98
9,6,340,251.45670087988802,4020.622337807177,,9.35
9,7,381,240.01050888548733,3731.6062578884266,,8.67
9,8,410,247.66394763467474,3930.5944736527217,,9.14
9,9,430,247.0905928289147,3908.849267597302,,9.09
9,10,511,251.6576805235709,4022.8459257102995,,9.35
9,11,592,251.2472631737624,4016.0527940321754,,9.34
