lane,band_number,position_y,intensity,area,normalized_area,relative_concentration
2,1,110,245.37768145025885,3848.2307585878525,0.0973002035503347,9.730020355033469
2,2,160,251.46215153740297,4014.6990730240914,0.1015092549028765,10.15092549028765
2,3,191,245.64751312932066,3852.968731834795,0.0974200003583392,9.74200003583392
2,4,229,251.400761504971,4018.753181325068,0.10161176059643966,10.161176059643966
2,5,301,251.67236555378832,4024.9402890150823,0.10176819789851224,10.176819789851224
2,6,386,244.80262531056024,3838.1950347515535,0.09704645630041532,9.704645630041533
2,7,435,248.65611578218306,3941.1297788089523,0.09964909948308709,9.964909948308708
2,8,504,251.4446479647611,4020.9837745892773,0.10166815980746961,10.16681598074696
2,9,601,251.56506266234402,4021.6730065323754,0.10168558662321012,10.168558662321011
2,10,630,250.34362561399956,3968.505592044723,0.10034128047931558,10.034128047931558
3,1,89,238.94283438959434,3681.8127325640653,0.07505315159218084,7.5053151592180845
3,2,113,226.2231613274028,3565.9320211514087,0.07269094220457654,7.269094220457655
3,3,138,247.39523609607647,3860.80292645581,0.07870183747912314,7.870183747912314
3,4,155,246.13652681809762,3858.6868122092383,0.07865870083560796,7.865870083560796
3,5,188,233.68139773177498,3657.8399910784665,0.07456447116992977,7.456447116992977
3,6,218,243.74325690839953,3851.354553516795,0.07850923393896495,7.850923393896495
3,7,237,242.1487341444107,3756.508613332013,0.07657581492945602,7.657581492945602
3,8,266,238.17009344331646,3662.9166281746034,0.07466795758850421,7.466795758850421
3,9,289,242.12196430898686,3723.263994225211,0.07589812879529202,7.589812879529203
3,10,322,248.6667665826874,3936.1622562286375,0.08023802511607182,8.023802511607183
3,11,339,248.8978417891935,3946.9508393526153,0.08045794862209568,8.045794862209569
3,12,362,244.01172095703396,3801.4138988161767,0.07749120184441896,7.749120184441896
3,13,388,240.2982341432508,3752.4257233587723,0.07649258588377819,7.649258588377819
4,1,91,236.1676192519411,3573.0516584033185,0.07339623367831197,7.339623367831197
4,2,122,241.14798794259016,3730.7554518188863,0.076635723498243,7.6635723498243005
4,3,139,245.67062314759818,3826.9629397725844,0.07861198019490898,7.861198019490898
4,4,157,242.86720627936884,3776.8509339699467,0.07758259891537189,7.75825989153719
4,5,186,243.34703742575195,3790.9709781402876,0.07787264735590788,7.787264735590788
4,6,217,240.42390931345645,3795.1125068493493,0.07795772102345501,7.795772102345501
4,7,239,236.28371591009522,3618.249570481822,0.07432467156106233,7.432467156106233
4,8,268,232.320980834032,3546.987080556826,0.07286082528536347,7.2860825285363475
4,9,291,237.70932894094852,3613.837647045687,0.07423404355048549,7.423404355048549
4,10,340,247.8861964098819,3919.5918094230346,0.08051472631004923,8.051472631004923
4,11,364,242.99347837714694,3781.1508800160573,0.07767092673007399,7.767092673007399
4,12,390,244.5039063494391,3856.0383745156114,0.0792092364359932,7.92092364359932
4,13,428,244.70372993180442,3852.1160444150046,0.07912866546077359,7.912866546077359
5,1,92,235.87019087708046,3602.075725039608,0.07326195232583023,7.326195232583023
5,2,123,243.43076145160845,3814.1197309824042,0.07757467616624543,7.757467616624543
5,3,141,246.18169085946167,3870.0289029164323,0.07871180247936933,7.871180247936933
5,4,159,244.23438218382967,3835.371319882278,0.07800690830451164,7.800690830451164
5,5,188,244.6255335513684,3843.427619258533,0.07817076388831376,7.817076388831376
5,6,220,241.18782338125345,3821.8302030100476,0.07773149803153052,7.773149803153053
5,7,241,238.79609152110447,3703.680462603347,0.07532847230144549,7.532847230144549
5,8,270,228.38623693665326,3471.5083746483306,0.07060636712167116,7.060636712167116
5,9,292,238.757464404188,3666.7210288924634,0.0745767612111722,7.45767612111722
5,10,308,244.85069694625008,3856.6547425374756,0.07843978790364291,7.84397879036429
5,11,342,248.5197138395458,3950.200435643897,0.08034239646375974,8.034239646375973
5,12,366,244.29218582944446,3836.127264746783,0.07802228332737397,7.802228332737397
5,13,392,245.75044427837534,3895.326738212343,0.0792263304751336,7.92263304751336
6,1,92,235.42207263893303,3607.928564621493,0.07939975533557021,7.939975533557021
6,2,123,243.60830325409069,3820.117083225686,0.0840693922644703,8.40693922644703
6,3,140,246.50640703835808,3880.53725944235,0.08539906027840406,8.539906027840406
6,4,158,244.45009404096294,3839.9062511523352,0.08450489287473122,8.450489287473122
6,5,187,244.49022047907735,3838.8219118899237,0.08448102979912032,8.448102979912033
6,6,219,241.98313150419233,3836.037329775293,0.08441974944540671,8.441974944540672
6,7,239,239.8428512464574,3722.9483162979996,0.08193099728737165,8.193099728737165
6,8,268,231.0028016320427,3514.0521202445916,0.07733381456601364,7.733381456601364
6,9,290,239.2860617788362,3661.2589473621565,0.08057339812414499,8.057339812414499
6,10,339,248.51027559201222,3950.301551013856,0.08693436442390565,8.693436442390565
6,11,363,245.63180813997596,3853.604117010591,0.08480634207980411,8.480634207980412
6,12,389,246.8386204055687,3914.5329230837388,0.08614720352105715,8.614720352105715
7,1,90,238.6241734764974,3667.9263394560458,0.08049444489086718,8.049444489086719
7,2,121,244.48179135373022,3829.516457371624,0.08404061938776103,8.404061938776103
7,3,138,246.51735202327666,3872.9414442823713,0.08499360205215449,8.49936020521545
7,4,156,245.1134777407975,3844.1310138853987,0.08436134300787522,8.436134300787522
7,5,185,245.43517807193578,3860.3560377285735,0.0847174091244568,8.47174091244568
7,6,217,242.4032295013642,3841.3593148393,0.08430051671108722,8.430051671108723
7,7,237,240.21023080191594,3717.685838082922,0.08158644152584112,8.158644152584111
7,8,265,230.83695110967645,3509.724652996384,0.07702263118638096,7.702263118638096
7,9,288,240.978001979872,3693.3789605190036,0.08105301516024294,8.105301516024294
7,10,336,248.7485441591936,3952.0182042731603,0.0867289803858892,8.67289803858892
7,11,361,245.45851971826335,3856.5719150628674,0.0846343646941207,8.46343646941207
7,12,387,247.23096697155395,3921.8366736292246,0.08606663187332322,8.606663187332323
8,1,88,241.69552661677645,3721.270338802808,0.08056991534957042,8.056991534957042
8,2,120,246.52340082581273,3879.5405117607065,0.08399665226373997,8.399665226373996
8,3,137,248.56536864875088,3921.85222235313,0.08491275096938353,8.491275096938352
8,4,155,247.17054975083735,3889.6051416029186,0.08421456343400788,8.421456343400788
8,5,183,247.8139177236297,3909.6941638850412,0.08464951458707216,8.464951458707217
8,6,216,246.6200463150616,3910.8673673267494,0.08467491583271687,8.467491583271688
8,7,234,243.6385440084199,3820.7687805634737,0.08272417459445239,8.272417459445238
8,8,264,234.57014784284462,3530.656570790864,0.07644290125090492,7.6442901250904915
8,9,287,243.98509847853813,3758.013549001683,0.08136544941881711,8.136544941881711
8,10,335,250.04684773122548,3976.2226549850493,0.08608993530587078,8.608993530587078
8,11,359,247.45893746566153,3906.3658591006915,0.08457745284193734,8.457745284193734
8,12,386,249.07858603806196,3961.9896629525174,0.08578177415152662,8.57817741515266
9,1,87,242.27302340699734,3728.8051850316356,0.08077580097460345,8.077580097460345
9,2,118,246.37464605035464,3879.59902851071,0.08404239520107493,8.404239520107492
9,3,136,248.60685191457432,3921.233707136922,0.08494431266457039,8.49443126645704
9,4,153,246.92245569832124,3889.681240302326,0.0842608026245393,8.426080262453931
9,5,182,247.6296251574937,3903.988875189223,0.08457074390886292,8.457074390886293
9,6,215,246.74561549797028,3912.062631116025,0.08474564285624661,8.47456428562466
9,7,233,243.93575879369507,3815.6847701661773,0.08265784300397923,8.265784300397923
9,8,263,234.72689181859536,3535.5286522872766,0.07658891912711768,7.658891912711768
9,9,286,243.54823686382,3742.611778510977,0.0810748883743693,8.10748883743693
9,10,335,249.59949857664805,3970.031237818037,0.08600139648385187,8.600139648385188
9,11,359,247.87802756309003,3902.00406110195,0.08452774757633025,8.452774757633025
9,12,386,249.32702086725106,3961.1731673150202,0.08580950720445403,8.580950720445403
10,1,105,236.99568106605795,3675.4275758117356,0.13751326293769267,13.751326293769267
10,2,134,249.36541494482637,3941.3749671019614,0.14746347765196555,14.746347765196555
10,3,184,239.58177011634322,3729.850916014967,0.13954946986517147,13.954946986517147
10,4,216,247.57654507700988,3933.3955984623385,0.14716493578297637,14.716493578297637
10,5,261,239.24740384022527,3646.8912862268307,0.1364455998666584,13.644559986665842
10,6,335,250.58858945539816,3991.7685374578527,0.1493489138761274,14.934891387612739
10,7,382,243.61505949848117,3809.095385172245,0.14251434001940813,14.251434001940813
11,1,102,245.46043255211075,3880.2060648562283,0.12251572577817783,12.251572577817784
11,2,147,251.3525998720438,4020.3294412499026,0.12694005708182882,12.694005708182882
11,3,182,245.24228880084004,3872.494683152858,0.122272242439832,12.2272242439832
11,4,221,251.2567987839494,4018.658129785536,0.12688728618934636,12.688728618934636
11,5,309,251.72268134281057,4024.8810095346416,0.12708377076159555,12.708377076159556
11,6,379,244.8673717573066,3854.1060702283694,0.12169163042571692,12.169163042571691
11,7,409,249.55879608921592,3973.54941319153,0.12546299916436293,12.546299916436293
11,8,509,251.8331366555127,4026.861003397219,0.12714628815913975,12.714628815913976
