lane,band_number,position_y,intensity,area,normalized_area
2,1,110,240.9262262865089,3717.1762978432525,0.07946154352069427
2,2,160,250.91866914782076,4003.336315951365,0.08557874510351231
2,3,191,240.57740117841922,3720.2713543796945,0.0795277060994808
2,4,230,250.36436151304534,4000.8034741353977,0.08552460090800905
2,5,267,245.01147568492692,3854.8391742129525,0.08240434304521016
2,6,342,250.92414630063354,4012.720531162406,0.08577935012346585
2,7,387,238.5269339542411,3708.520223070074,0.07927650385423927
2,8,415,245.6898614400629,3895.9399683126194,0.08328294881405161
2,9,435,246.28621005376843,3894.621966209188,0.08325477407249766
2,10,508,250.94615933687925,4014.283969101679,0.0858127715116108
2,11,601,250.7899362343453,4008.0126114422565,0.08567870960018703
2,12,631,249.19448367964503,3949.03732358473,0.08441800334704123
3,1,90,234.0517536803286,3566.8918497489244,0.06335212122195953
3,2,121,240.63142648398536,3742.30937836029,0.0664677392460457
3,3,138,244.48817767913823,3820.1114267067896,0.06784959353425776
3,4,155,242.17563979369135,3778.065144027294,0.06710280296435818
3,5,170,241.59640568695042,3780.514619936109,0.06714630848716129
3,6,185,242.41482598643537,3791.974972996764,0.06734985760132806
3,7,216,239.38988658987967,3783.487816670466,0.06719911589704813
3,8,238,234.6937158585889,3598.38242058718,0.06391143015117036
3,9,266,229.89952642882764,3542.423744856547,0.06291753940324736
3,10,290,236.65300072479758,3612.175742729538,0.06415641549225315
3,11,323,245.20732670088682,3881.516994918942,0.06894022738718869
3,12,339,247.50840065189803,3913.092867320109,0.06950105137073297
3,13,363,242.5213459933182,3771.774682084231,0.06699107709086775
3,14,390,244.95228180015818,3869.3255889885722,0.06872369392923669
3,15,427,245.02964920345954,3850.595517972046,0.06839102622314451
4,1,92,238.91995900551078,3604.9600780451356,0.06344735438175207
4,2,123,243.37644158480947,3774.529458768683,0.06643177816402467
4,3,140,246.74367395147073,3850.781042386142,0.06777380724152009
4,4,158,244.08518857742243,3807.9065544425944,0.06701921557570459
4,5,187,245.32329905240897,3826.681824131574,0.0673496606191392
4,6,219,243.08396578632286,3842.7259187313266,0.06763203693781313
4,7,240,239.91611973807807,3677.606969557527,0.06472594082119439
4,8,269,234.1152561763703,3526.39331525511,0.06206457811420768
4,9,291,239.1838545055166,3608.4402178969763,0.06350860489817875
4,10,308,245.5136782967135,3846.591718386604,0.06770007507287903
4,11,324,247.4760789737269,3908.0107128245386,0.06878105034625506
4,12,341,248.74804574912812,3939.5949347520836,0.06933693315164677
4,13,365,244.64790598825954,3815.9146108688287,0.06716015749544421
4,14,391,246.918692872842,3896.4321940476593,0.06857726823268148
4,15,429,247.0343009390272,3891.5612163150513,0.06849153894755886
5,1,92,236.10335674089728,3619.248983487795,0.07946409952966565
5,2,123,243.77664778785493,3826.3623389198674,0.08401147285630452
5,3,140,246.5101034327381,3882.7932743578785,0.08525046842987705
5,4,158,244.48183236471598,3845.437964045372,0.08443029659031105
5,5,187,244.5063092650018,3844.8055680180787,0.08441641172605212
5,6,219,241.96539871755942,3838.2952594213602,0.08427347162641853
5,7,239,239.9178391191707,3735.2951317725565,0.08201200455620739
5,8,268,230.56895000976456,3532.0571413995904,0.07754971860437351
5,9,291,239.31963613179823,3698.7174556243967,0.08120890642417443
5,10,339,248.4350914554828,3951.91047170993,0.08676800311031843
5,11,364,245.29871207662848,3859.6482265622312,0.08474229659918973
5,12,389,246.36318975768086,3911.140083632891,0.08587284994710753
6,1,90,239.79404619276892,3679.546520677167,0.08043739944424964
6,2,121,245.13826966372648,3840.570323372245,0.08395748972293766
6,3,138,247.14861910950134,3882.6660133077708,0.08487773024909957
6,4,156,245.4994746630784,3849.6369227094237,0.08415569177538824
6,5,185,246.22419976622308,3873.115370934692,0.08466894668536543
