lane,band_number,position_y,molecular_weight_kDa,area,relative_concentration_%
2,1,39,116.09,4918.396427166711,50.35
2,2,136,31.74,4850.4602819909605,49.65
5,1,131,36.09,5074.186039393097,100.0
