lane,band_number,position_y,intensity,area,molecular_weight_kDa,normalized_area
2,1,110,244.8777029591693,3792.1028948908224,250.0,0.0803433645100092
2,2,160,251.3533328635419,4010.175437017201,250.0,0.0849636720879734
2,3,191,245.10264310791163,3795.6473108262608,250.0,0.08041846012565289
2,4,230,251.29743193456648,4015.3415946796995,250.0,0.08507312758000488
2,5,267,247.9395014313813,3897.62986195668,250.0,0.08257916660072544
2,6,322,251.6509966879493,4023.1613591611967,250.0,0.0852388050960253
2,7,387,245.13661791835992,3810.150031854817,250.0,0.08072572958386146
2,8,415,247.86387493746435,3931.0326569911485,250.0,0.0832868723279944
2,9,435,248.42429969651826,3925.4174694783824,250.0,0.08316790323099597
2,10,504,251.3972851869681,4020.913193098807,250.0,0.08519117315395089
2,11,602,251.59185746085444,4019.022662614001,250.0,0.08515111844444849
2,12,631,249.91960467815267,3958.1122036792854,250.0,0.08386060725835773
3,1,90,237.49591171715713,3633.917382117812,250.0,0.07431552741910369
3,2,121,233.7007408557655,3678.2442369037585,250.0,0.07522203498266525
3,3,138,245.94853358736884,3846.2005833239386,250.0,0.07865683086685982
3,4,155,244.2765781113241,3819.5474781792386,250.0,0.07811176080667291
3,5,185,237.90018060806167,3742.2348287826717,250.0,0.07653067634274223
3,6,216,241.24010512916902,3807.6618181324193,250.0,0.0778686927888225
3,7,237,238.11817672700556,3682.9478053438697,250.0,0.07531822543847991
3,8,266,231.82567625303926,3579.7867367278427,250.0,0.07320852716601933
3,9,289,238.92247220705366,3662.940958301081,250.0,0.07490907486249415
3,10,322,246.41733753901366,3900.0371443271847,250.0,0.07975781693910104
3,11,339,247.4227943387188,3921.8374514556604,250.0,0.08020364471992057
3,12,362,242.55533900459199,3790.520906946772,250.0,0.07751815211294642
3,13,427,242.91318459696492,3832.616810853969,250.0,0.07837903555417207
4,1,92,232.9977469724145,3568.6601420157995,250.0,0.07325416750071709
4,2,123,240.80193068619064,3750.9550582935967,250.0,0.07699614958926639
4,3,140,244.61225901933366,3830.260069639582,250.0,0.07862404979651436
4,4,157,242.69665000698578,3791.0377028671865,250.0,0.07781892918794425
4,5,187,242.49364655756057,3789.1876048558443,250.0,0.07778095208050834
4,6,218,239.20288032486667,3784.055096377074,250.0,0.07767559667516276
4,7,240,235.85943905700577,3615.4840546523483,250.0,0.07421532563929488
4,8,268,228.4470492019692,3515.096821412212,250.0,0.07215466900457465
4,9,291,237.15179621567472,3609.432650291824,250.0,0.07409110798589008
4,10,340,247.93595047441727,3924.7202044769115,250.0,0.08056304041600368
4,11,364,243.15495672866504,3793.5331529038767,250.0,0.07787015348717778
4,12,390,245.1120148185572,3866.905740699577,250.0,0.0793762783694736
4,13,428,246.0654966013833,3876.809824043051,250.0,0.07957958026747224
5,1,92,239.12233178283049,3621.5055585443424,250.0,0.07325346104856874
5,2,123,244.52900449368693,3818.1088198431544,250.0,0.07723022405797383
5,3,141,247.56900702789403,3885.4631671007046,250.0,0.07859262402492734
5,4,158,245.23049393273777,3841.0656748141587,250.0,0.07769458040210493
5,5,173,244.3859658223561,3828.8355198068,250.0,0.07744719677422791
5,6,188,246.15681217012647,3854.7845910616734,250.0,0.07797207772489514
5,7,220,244.28880100224384,3869.4328617903284,250.0,0.07826837342620058
5,8,240,241.67432406738538,3740.1612956835042,250.0,0.07565355219248693
5,9,269,234.80191168669703,3549.860614123817,250.0,0.07180427367039297
5,10,292,240.4001382095657,3687.5680474924297,250.0,0.07458973014513623
5,11,341,249.0816281757459,3958.01956911972,250.0,0.08006024777510615
5,12,366,245.72704020368116,3857.305448950132,250.0,0.0780230680001152
5,13,391,247.8136808296258,3925.901817065246,250.0,0.07941059075786394
6,1,91,239.7993456853953,3651.5624461787447,250.0,0.07386755022901002
6,2,122,244.4537773098713,3816.2447798390826,250.0,0.07719891337363201
6,3,139,247.2425833003005,3875.5050859986804,250.0,0.07839769162440832
6,4,156,244.6792187026677,3830.2146711890405,250.0,0.07748151066347618
6,5,186,245.7978721393385,3850.159260845836,250.0,0.07788497027836296
6,6,218,243.90940427687843,3858.4369134976905,250.0,0.0780524191258225
6,7,238,240.19274080765823,3707.5550796021626,250.0,0.07500022664433112
6,8,266,233.53926386454032,3531.5142926875706,250.0,0.07143909305797383
6,9,289,240.64689659432202,3673.9527903079425,250.0,0.07432048507374726
6,10,337,248.73583580251295,3949.923978515643,250.0,0.07990311330677244
6,11,362,246.07035914239395,3856.744209688814,250.0,0.07801817737712781
6,12,388,247.88413985775702,3926.570812534169,250.0,0.07943070151413059
6,13,425,247.36700482449072,3905.534021578692,250.0,0.07900514773120486
7,1,89,241.3037112639502,3712.9447835026594,250.0,0.08058447171053994
7,2,120,246.1807474655116,3869.6644606648033,250.0,0.08398586147719406
7,3,137,248.0739185416519,3909.383143383542,250.0,0.08484790205429865
7,4,155,246.5644003616399,3877.9681834741505,250.0,0.08416608261024057
7,5,184,247.2820807830089,3899.5533009051924,250.0,0.08463455854683923
7,6,217,246.11001063554397,3901.517991888713,250.0,0.08467719952164847
7,7,235,243.07921041327253,3794.339711196869,250.0,0.0823510391201333
7,8,264,235.14058060229593,3545.508454336694,250.0,0.0769504914286509
7,9,288,243.06539363584966,3757.842834036769,250.0,0.0815589234985655
7,10,335,249.7234824927845,3968.9477743995476,250.0,0.08614067224155952
7,11,360,246.54194359399335,3886.1326424013664,250.0,0.08434328120806928
7,12,386,248.79874651414713,3951.385955269181,250.0,0.08575951658226055
8,1,87,237.92532233820648,3697.8612240403045,250.0,0.10720920356708082
8,2,119,245.22682521926754,3873.2874171079225,250.0,0.11229519822835025
8,3,136,247.10459541352097,3907.5165408125854,250.0,0.11328757648941612
8,4,154,246.21215319580944,3890.2726525197027,250.0,0.11278763789835679
8,5,182,246.03235882503856,3889.6526286293606,250.0,0.11276966202975361
8,6,215,243.94564659526623,3873.3611594832064,250.0,0.11229733618346657
8,7,263,228.82841425821732,3494.81191920539,250.0,0.10132235359156554
8,8,335,249.14692822110229,3965.3211123832216,250.0,0.11496345930522746
8,9,359,246.89673845866355,3899.928167521178,250.0,0.11306757270678292
9,1,85,242.48031975435416,3764.1508704550934,250.0,0.10849483215274991
9,2,134,249.59617585865604,3940.6184203746857,250.0,0.11358118970531486
9,3,151,248.41581591140005,3930.159079914538,250.0,0.1132797181578912
9,4,183,240.4492320972965,3795.448209018516,250.0,0.10939692125893279
9,5,214,247.35589662834693,3924.3079599452285,250.0,0.11311107022086017
9,6,261,237.3335552455107,3621.424764300533,250.0,0.1043810106126525
9,7,285,245.5243294281348,3820.039688017699,250.0,0.11010572610715123
9,8,334,250.33591574043174,3986.4375938388876,250.0,0.11490184440419926
9,9,358,247.6668692460566,3911.7006512959815,250.0,0.11274768738024821
10,1,103,244.8689891458041,3826.2319431270507,250.0,0.08831875401745568
10,2,151,251.26253367256103,4014.699821930032,250.0,0.09266905177138342
10,3,184,244.328496270613,3811.672916118803,250.0,0.08798269620805273
10,4,222,251.2382905468564,4016.375339756385,250.0,0.09270772680440731
10,5,260,247.058624011787,3894.9557226243887,250.0,0.08990506626062168
10,6,340,251.532553207001,4022.137111733357,250.0,0.09284072253741638
10,7,380,244.34001915313377,3806.5867369376547,250.0,0.08786529480252751
10,8,409,248.99102416826722,3950.6230988757366,250.0,0.09119000491123622
10,9,430,248.51373335308818,3928.9449005868473,250.0,0.0906896192862463
10,10,507,251.91722840232688,4028.9663326044406,250.0,0.09299835759122631
10,11,592,251.60548326096605,4021.789803157105,250.0,0.09283270580942651
