Lane,Band_Number,Molecular_Weight_kDa,Intensity
2,1,250.0,34923.0
2,2,232.05,34719.0
2,3,201.28,33466.0
2,4,170.51,31707.0
2,5,104.41,33764.0
2,6,90.08,32927.0
2,7,77.78,31811.0
2,8,62.31,31831.0
2,9,49.93,32026.0
2,10,47.62,32931.0
2,11,45.25,33800.0
2,12,43.86,32070.0
2,13,40.63,31693.0
2,14,36.35,33975.0
2,15,31.81,34506.0
2,16,18.64,34305.0
2,17,14.62,34198.0
3,1,233.33,34714.0
3,2,200.0,32160.0
3,3,153.85,32653.0
3,4,101.47,32932.0
3,5,81.35,31943.0
3,6,72.31,26608.0
3,7,61.15,30054.0
3,8,49.8,29645.0
3,9,47.49,31403.0
3,10,45.18,33246.0
3,11,43.6,31240.0
3,12,41.49,31473.0
3,13,39.31,32738.0
3,14,36.03,33865.0
3,15,31.65,34442.0
3,16,25.97,34295.0
3,17,18.64,34215.0
3,18,11.98,34557.0
4,1,241.03,34729.0
4,2,198.72,32692.0
4,3,152.56,33165.0
4,4,100.0,33282.0
4,5,80.95,32687.0
4,6,71.54,28362.0
4,7,61.15,31345.0
4,8,49.74,30933.0
4,9,47.56,32278.0
4,10,45.12,33756.0
4,11,43.53,32142.0
4,12,40.63,32592.0
4,13,39.31,33470.0
4,14,36.03,34273.0
4,15,31.81,34698.0
4,16,25.81,34595.0
4,17,18.52,34543.0
4,18,12.08,34792.0
5,1,241.03,34835.0
5,2,202.56,32984.0
5,3,156.41,33343.0
5,4,104.41,33397.0
5,5,82.14,32772.0
5,6,62.69,31322.0
5,7,50.0,31078.0
5,8,47.76,32415.0
5,9,45.38,33726.0
5,10,43.73,32267.0
5,11,41.75,32649.0
5,12,39.64,33699.0
5,13,37.66,34345.0
5,14,32.14,34755.0
5,15,25.81,34649.0
5,16,18.52,34547.0
5,17,12.17,34786.0
6,1,250.0,35332.0
6,2,235.9,34914.0
6,3,205.13,33543.0
6,4,158.97,33891.0
6,5,107.35,33965.0
6,6,82.94,33520.0
6,7,63.46,32643.0
6,8,50.38,32154.0
6,9,47.82,33177.0
6,10,45.51,34172.0
6,11,43.93,33248.0
6,12,41.82,33498.0
6,13,39.71,34146.0
6,14,31.97,34929.0
6,15,25.97,34862.0
6,16,18.52,34818.0
6,17,11.98,35025.0
7,1,250.0,34991.0
7,2,239.74,34922.0
7,3,207.69,34288.0
7,4,180.77,32846.0
7,5,110.29,34521.0
7,6,92.86,33987.0
7,7,78.97,33719.0
7,8,64.62,33812.0
7,9,51.15,33513.0
7,10,48.02,34026.0
7,11,45.58,34566.0
7,12,40.89,33289.0
7,13,32.3,34992.0
7,14,18.52,34981.0
7,15,14.62,34892.0
8,1,250.0,35294.0
8,2,224.36,35301.0
8,3,132.35,35284.0
8,4,95.24,35307.0
8,5,86.9,35301.0
8,6,76.19,35305.0
8,7,49.67,35256.0
8,8,47.43,35268.0
8,9,43.66,35279.0
8,10,41.55,35283.0
8,11,37.79,35295.0
8,12,29.05,35291.0
8,13,22.86,35318.0
8,14,11.42,35483.0
